"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006952","defense response","92/510","366/9266",1.8865113669616e-37,2.89579494828606e-34,2.68083194252438e-34,"ilys-5/F59A7.2/fbxa-150/F35E12.10/gst-24/ZK1055.7/tsp-1/C49C3.9/F55G11.4/nhr-115/clec-60/skr-3/klf-3/tir-1/clec-264/K05F1.10/F39G3.5/K09D9.1/F44G3.10/irg-7/F35E12.9/T21F4.1/C33H5.13/lys-4/zip-2/T19D12.4/cul-6/clec-66/fbxc-58/C39H7.4/F45E4.5/F53C11.1/nipi-3/irg-4/valv-1/cdr-4/fipr-2/kgb-1/pqm-1/F56D2.5/Y43C5A.3/aqp-1/ZK6.11/pgp-1/C29F3.7/F20C5.4/dod-24/irg-2/cpr-3/cnc-6/F08F3.4/C08E8.4/H20E11.2/ins-11/F53A9.6/C18E9.9/F16H6.10/Y17G7B.8/sox-4/C49G7.10/elt-3/ilys-4/C32H11.4/T24C4.4/ttr-21/lys-5/gst-38/lys-3/zip-10/pals-23/cnc-4/vhp-1/lec-8/vab-9/C49C8.5/sma-3/fbxa-105/gst-13/F01D5.5/F41C3.8/F22H10.2/irg-3/asp-14/irg-5/C04G6.5/dod-17/dod-22/dcar-1/irg-1/dod-19/gst-5/nlp-31",92
"GO:0045087","innate immune response","73/510","239/9266",9.4153309746098e-36,6.73536808807016e-33,6.2353827662573e-33,"fbxa-150/F35E12.10/gst-24/ZK1055.7/tsp-1/C49C3.9/nhr-115/skr-3/klf-3/tir-1/K05F1.10/F39G3.5/K09D9.1/F44G3.10/irg-7/F35E12.9/T21F4.1/C33H5.13/zip-2/T19D12.4/clec-66/fbxc-58/C39H7.4/F53C11.1/irg-4/valv-1/cdr-4/pqm-1/F56D2.5/aqp-1/ZK6.11/pgp-1/C29F3.7/F20C5.4/dod-24/irg-2/cpr-3/cnc-6/F08F3.4/C08E8.4/H20E11.2/ins-11/F53A9.6/C18E9.9/F16H6.10/Y17G7B.8/sox-4/C49G7.10/C32H11.4/T24C4.4/lys-5/gst-38/lys-3/zip-10/pals-23/cnc-4/vab-9/C49C8.5/sma-3/fbxa-105/gst-13/F01D5.5/F41C3.8/F22H10.2/irg-3/asp-14/irg-5/C04G6.5/dod-17/dod-22/irg-1/dod-19/gst-5",73
"GO:0002376","immune system process","74/510","247/9266",1.31635858398765e-35,6.73536808807016e-33,6.2353827662573e-33,"fbxa-150/F35E12.10/gst-24/ZK1055.7/tsp-1/C49C3.9/nhr-115/skr-3/klf-3/tir-1/K05F1.10/F39G3.5/K09D9.1/F44G3.10/irg-7/F35E12.9/T21F4.1/C33H5.13/zip-2/T19D12.4/cul-6/clec-66/fbxc-58/C39H7.4/F53C11.1/irg-4/valv-1/cdr-4/pqm-1/F56D2.5/aqp-1/ZK6.11/pgp-1/C29F3.7/F20C5.4/dod-24/irg-2/cpr-3/cnc-6/F08F3.4/C08E8.4/H20E11.2/ins-11/F53A9.6/C18E9.9/F16H6.10/Y17G7B.8/sox-4/C49G7.10/C32H11.4/T24C4.4/lys-5/gst-38/lys-3/zip-10/pals-23/cnc-4/vab-9/C49C8.5/sma-3/fbxa-105/gst-13/F01D5.5/F41C3.8/F22H10.2/irg-3/asp-14/irg-5/C04G6.5/dod-17/dod-22/irg-1/dod-19/gst-5",74
"GO:0006955","immune response","73/510","245/9266",6.02383266111223e-35,2.31164578370182e-32,2.14004581381619e-32,"fbxa-150/F35E12.10/gst-24/ZK1055.7/tsp-1/C49C3.9/nhr-115/skr-3/klf-3/tir-1/K05F1.10/F39G3.5/K09D9.1/F44G3.10/irg-7/F35E12.9/T21F4.1/C33H5.13/zip-2/T19D12.4/clec-66/fbxc-58/C39H7.4/F53C11.1/irg-4/valv-1/cdr-4/pqm-1/F56D2.5/aqp-1/ZK6.11/pgp-1/C29F3.7/F20C5.4/dod-24/irg-2/cpr-3/cnc-6/F08F3.4/C08E8.4/H20E11.2/ins-11/F53A9.6/C18E9.9/F16H6.10/Y17G7B.8/sox-4/C49G7.10/C32H11.4/T24C4.4/lys-5/gst-38/lys-3/zip-10/pals-23/cnc-4/vab-9/C49C8.5/sma-3/fbxa-105/gst-13/F01D5.5/F41C3.8/F22H10.2/irg-3/asp-14/irg-5/C04G6.5/dod-17/dod-22/irg-1/dod-19/gst-5",73
"GO:0009607","response to biotic stimulus","40/510","196/9266",2.68845069048333e-13,5.8953882998456e-11,5.45775704083083e-11,"ilys-5/F59A7.2/jun-1/C49C3.9/F55G11.4/clec-60/skr-3/tir-1/clec-264/lys-4/zip-2/T19D12.4/cul-6/F45E4.5/nipi-3/irg-4/fipr-2/kgb-1/pqm-1/Y43C5A.3/aqp-1/pgp-1/dod-24/irg-2/cnc-6/elt-3/ilys-4/ttr-21/lys-5/cnc-4/vhp-1/lec-8/vab-9/sma-3/F41C3.8/irg-5/dod-22/dcar-1/irg-1/nlp-31",40
"GO:0043207","response to external biotic stimulus","40/510","196/9266",2.68845069048333e-13,5.8953882998456e-11,5.45775704083083e-11,"ilys-5/F59A7.2/jun-1/C49C3.9/F55G11.4/clec-60/skr-3/tir-1/clec-264/lys-4/zip-2/T19D12.4/cul-6/F45E4.5/nipi-3/irg-4/fipr-2/kgb-1/pqm-1/Y43C5A.3/aqp-1/pgp-1/dod-24/irg-2/cnc-6/elt-3/ilys-4/ttr-21/lys-5/cnc-4/vhp-1/lec-8/vab-9/sma-3/F41C3.8/irg-5/dod-22/dcar-1/irg-1/nlp-31",40
"GO:0051707","response to other organism","40/510","196/9266",2.68845069048333e-13,5.8953882998456e-11,5.45775704083083e-11,"ilys-5/F59A7.2/jun-1/C49C3.9/F55G11.4/clec-60/skr-3/tir-1/clec-264/lys-4/zip-2/T19D12.4/cul-6/F45E4.5/nipi-3/irg-4/fipr-2/kgb-1/pqm-1/Y43C5A.3/aqp-1/pgp-1/dod-24/irg-2/cnc-6/elt-3/ilys-4/ttr-21/lys-5/cnc-4/vhp-1/lec-8/vab-9/sma-3/F41C3.8/irg-5/dod-22/dcar-1/irg-1/nlp-31",40
"GO:0098542","defense response to other organism","39/510","194/9266",8.96311367958128e-13,1.71979743726966e-10,1.59213203518878e-10,"ilys-5/F59A7.2/C49C3.9/F55G11.4/clec-60/skr-3/tir-1/clec-264/lys-4/zip-2/T19D12.4/cul-6/F45E4.5/nipi-3/irg-4/fipr-2/kgb-1/pqm-1/Y43C5A.3/aqp-1/pgp-1/dod-24/irg-2/cnc-6/elt-3/ilys-4/ttr-21/lys-5/cnc-4/vhp-1/lec-8/vab-9/sma-3/F41C3.8/irg-5/dod-22/dcar-1/irg-1/nlp-31",39
"GO:0009617","response to bacterium","32/510","158/9266",8.69420005227549e-11,1.48284412002699e-08,1.37276842930666e-08,"ilys-5/F59A7.2/jun-1/C49C3.9/F55G11.4/clec-60/skr-3/tir-1/clec-264/lys-4/zip-2/T19D12.4/F45E4.5/irg-4/kgb-1/pqm-1/Y43C5A.3/aqp-1/pgp-1/dod-24/irg-2/ilys-4/ttr-21/lys-5/vhp-1/lec-8/vab-9/F41C3.8/irg-5/dod-22/irg-1/nlp-31",32
"GO:0042742","defense response to bacterium","31/510","157/9266",3.37783455926947e-10,5.18497604847864e-08,4.8000806894882e-08,"ilys-5/F59A7.2/C49C3.9/F55G11.4/clec-60/skr-3/tir-1/clec-264/lys-4/zip-2/T19D12.4/F45E4.5/irg-4/kgb-1/pqm-1/Y43C5A.3/aqp-1/pgp-1/dod-24/irg-2/ilys-4/ttr-21/lys-5/vhp-1/lec-8/vab-9/F41C3.8/irg-5/dod-22/irg-1/nlp-31",31
"GO:0050829","defense response to Gram-negative bacterium","22/510","97/9266",9.05441356687356e-09,1.2635022568319e-06,1.1697089296918e-06,"F59A7.2/C49C3.9/F55G11.4/skr-3/tir-1/zip-2/T19D12.4/F45E4.5/irg-4/kgb-1/pqm-1/Y43C5A.3/aqp-1/pgp-1/dod-24/irg-2/ttr-21/vab-9/F41C3.8/dod-22/irg-1/nlp-31",22
"GO:0009072","aromatic amino acid family metabolic process","11/510","25/9266",2.78188647466281e-08,3.55849644883952e-06,3.29433924631123e-06,"hpd-1/gst-42/qdpr-1/pah-1/haly-1/sup-18/tatn-1/Y53G8B.1/fah-1/kmo-1/tdo-2",11
"GO:0009074","aromatic amino acid family catabolic process","9/510","18/9266",1.34567366038425e-07,1.58893005283832e-05,1.47097930487347e-05,"hpd-1/gst-42/qdpr-1/pah-1/haly-1/Y53G8B.1/fah-1/kmo-1/tdo-2",9
"GO:0009063","cellular amino acid catabolic process","15/510","59/9266",4.41562690274034e-07,4.84141949693316e-05,4.48202730729283e-05,"T21F4.1/hpd-1/gst-42/qdpr-1/pah-1/F08F3.4/haly-1/cdo-1/gta-1/Y53G8B.1/M04B2.4/fah-1/kmo-1/tdo-2/prdh-1",15
"GO:1901606","alpha-amino acid catabolic process","14/510","55/9266",1.0551426202685e-06,0.000107976261474143,9.99608798149101e-05,"T21F4.1/hpd-1/gst-42/qdpr-1/pah-1/F08F3.4/haly-1/cdo-1/Y53G8B.1/M04B2.4/fah-1/kmo-1/tdo-2/prdh-1",14
"GO:0070593","dendrite self-avoidance","7/510","14/9266",3.59404978112687e-06,0.000344804150876859,0.000319208368718505,"zig-6/zig-4/zig-7/rig-6/rig-3/zig-1/mnr-1",7
"GO:0097501","stress response to metal ion","9/510","26/9266",5.81311647596516e-06,0.000524890222976854,0.000485926145049719,"cdr-4/kgb-1/F53A9.1/haly-1/F53A9.6/lys-3/vhp-1/F22H10.2/kreg-1",9
"GO:1901605","alpha-amino acid metabolic process","21/510","130/9266",7.53390864425111e-06,0.000642474987162525,0.000594782261388245,"cth-1/T21F4.1/cysl-1/hpd-1/gst-42/qdpr-1/pah-1/F08F3.4/haly-1/cdo-1/sup-18/Y53G8B.1/cth-2/cysl-3/M04B2.4/aass-1/fah-1/W07E11.1/kmo-1/tdo-2/prdh-1",21
"GO:0007155","cell adhesion","18/510","105/9266",1.45708388728521e-05,0.0011183118834914,0.00103529644622896,"F54D1.6/mua-6/spon-1/fmi-1/zig-6/zig-4/zig-7/F26E4.3/F26E4.7/mup-4/rig-6/mua-3/rig-3/vab-9/pat-2/him-4/unc-52/zig-1",18
"GO:0022610","biological adhesion","18/510","105/9266",1.45708388728521e-05,0.0011183118834914,0.00103529644622896,"F54D1.6/mua-6/spon-1/fmi-1/zig-6/zig-4/zig-7/F26E4.3/F26E4.7/mup-4/rig-6/mua-3/rig-3/vab-9/pat-2/him-4/unc-52/zig-1",18
"GO:0036499","PERK-mediated unfolded protein response","8/510","23/9266",1.87386341294126e-05,0.00136970492326897,0.0012680278734189,"F22E5.6/tbb-6/T20D4.7/sdz-35/F57B9.3/cbp-3/Y58A7A.5/gst-38",8
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","8/510","24/9266",2.67648862948494e-05,0.00181499225878378,0.00168026027728997,"fmi-1/zig-6/zig-4/zig-7/rig-6/rig-3/him-4/zig-1",8
"GO:0061061","muscle structure development","16/510","90/9266",2.71953237472488e-05,0.00181499225878378,0.00168026027728997,"mup-2/spon-1/pat-10/unc-23/pat-9/alp-1/unc-27/unc-15/tnt-2/unc-82/mlp-1/emb-9/eff-1/pat-2/unc-52/pxl-1",16
