"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030016","myofibril","34/575","101/11817",3.66932948832432e-20,8.69631088732865e-18,7.33865897664865e-18,"cpn-3/zig-12/dim-1/tni-3/unc-87/rig-1/mup-2/C46G7.2/aldo-1/spon-1/F15G9.1/unc-23/D2092.4/alp-1/mlc-3/eva-1/set-18/unc-27/unc-95/C04F12.8/unc-15/tnt-2/tni-1/hsp-25/unc-82/F21C10.7/mlp-1/lev-11/ttn-1/pat-2/unc-52/act-4/atn-1/pxl-1",34
"GO:0030017","sarcomere","32/575","93/11817",2.24403318747644e-19,2.32805237216664e-17,1.96460115794653e-17,"zig-12/dim-1/tni-3/unc-87/rig-1/mup-2/C46G7.2/aldo-1/spon-1/F15G9.1/unc-23/alp-1/mlc-3/eva-1/set-18/unc-27/unc-95/C04F12.8/unc-15/tnt-2/tni-1/hsp-25/unc-82/F21C10.7/mlp-1/lev-11/ttn-1/pat-2/unc-52/act-4/atn-1/pxl-1",32
"GO:0099081","supramolecular polymer","58/575","311/11817",2.9469017369198e-19,2.32805237216664e-17,1.96460115794653e-17,"atat-2/gsnl-1/tbb-6/cpn-3/zig-12/dim-1/tni-3/unc-87/rig-1/mua-6/mup-2/C46G7.2/ifb-1/aldo-1/spon-1/ifb-2/F15G9.1/pat-10/F42H10.3/unc-23/cysl-1/D2092.4/alp-1/mlc-3/eva-1/tba-4/set-18/ifd-2/unc-27/gyg-1/upb-1/tba-7/unc-95/C04F12.8/unc-15/tnt-2/tni-1/hsp-25/unc-82/F21C10.7/mlp-1/lev-11/ttn-1/emb-9/mua-3/H03A11.2/cls-1/sgca-1/sma-1/mec-7/pat-2/unc-52/act-4/atn-1/mig-10/ifc-2/pxl-1/let-2",58
"GO:0099080","supramolecular complex","58/575","316/11817",6.53390757786292e-19,3.27437763413917e-17,2.7631878769107e-17,"atat-2/gsnl-1/tbb-6/cpn-3/zig-12/dim-1/tni-3/unc-87/rig-1/mua-6/mup-2/C46G7.2/ifb-1/aldo-1/spon-1/ifb-2/F15G9.1/pat-10/F42H10.3/unc-23/cysl-1/D2092.4/alp-1/mlc-3/eva-1/tba-4/set-18/ifd-2/unc-27/gyg-1/upb-1/tba-7/unc-95/C04F12.8/unc-15/tnt-2/tni-1/hsp-25/unc-82/F21C10.7/mlp-1/lev-11/ttn-1/emb-9/mua-3/H03A11.2/cls-1/sgca-1/sma-1/mec-7/pat-2/unc-52/act-4/atn-1/mig-10/ifc-2/pxl-1/let-2",58
"GO:0043292","contractile fiber","41/575","162/11817",6.90796969227674e-19,3.27437763413917e-17,2.7631878769107e-17,"gsnl-1/cpn-3/zig-12/dim-1/tni-3/unc-87/rig-1/mup-2/C46G7.2/aldo-1/spon-1/F15G9.1/pat-10/F42H10.3/unc-23/cysl-1/D2092.4/alp-1/mlc-3/eva-1/set-18/unc-27/gyg-1/upb-1/unc-95/C04F12.8/unc-15/tnt-2/tni-1/hsp-25/unc-82/F21C10.7/mlp-1/lev-11/ttn-1/sgca-1/pat-2/unc-52/act-4/atn-1/pxl-1",41
"GO:0099512","supramolecular fiber","56/575","309/11817",5.02626468025799e-18,1.98537454870191e-16,1.675421560086e-16,"atat-2/gsnl-1/tbb-6/cpn-3/zig-12/dim-1/tni-3/unc-87/rig-1/mua-6/mup-2/C46G7.2/ifb-1/aldo-1/spon-1/ifb-2/F15G9.1/pat-10/F42H10.3/unc-23/cysl-1/D2092.4/alp-1/mlc-3/eva-1/tba-4/set-18/ifd-2/unc-27/gyg-1/upb-1/tba-7/unc-95/C04F12.8/unc-15/tnt-2/tni-1/hsp-25/unc-82/F21C10.7/mlp-1/lev-11/ttn-1/mua-3/H03A11.2/cls-1/sgca-1/sma-1/mec-7/pat-2/unc-52/act-4/atn-1/mig-10/ifc-2/pxl-1",56
"GO:0044449","contractile fiber part","38/575","149/11817",1.03427624837523e-17,3.501763869499e-16,2.95507499535781e-16,"gsnl-1/zig-12/dim-1/tni-3/unc-87/rig-1/mup-2/C46G7.2/aldo-1/spon-1/F15G9.1/F42H10.3/unc-23/cysl-1/alp-1/mlc-3/eva-1/set-18/unc-27/gyg-1/upb-1/unc-95/C04F12.8/unc-15/tnt-2/tni-1/hsp-25/unc-82/F21C10.7/mlp-1/lev-11/ttn-1/sgca-1/pat-2/unc-52/act-4/atn-1/pxl-1",38
"GO:0044421","extracellular region part","57/575","347/11817",2.66372250094973e-16,7.89127790906356e-15,6.65930625237431e-15,"mig-17/ttr-18/ttr-31/tep-1/cri-2/pvf-1/ttr-35/cwn-1/zmp-4/lon-1/tag-196/cpr-1/spon-1/ttr-32/timp-1/cest-26/gpx-5/ttr-24/srp-1/F13D2.1/W01F3.2/ttr-17/ttr-16/ttr-8/scl-2/F26E4.3/srp-8/F26E4.7/cpr-3/scl-5/ttr-54/zmp-1/Y47G6A.19/sod-4/emb-9/mua-3/ttr-21/scl-12/mig-18/fbl-1/srp-6/ttr-6/ttr-20/mig-6/him-4/unc-52/ttr-14/mec-5/dpy-13/ttr-44/cpr-4/ttr-29/srp-2/ttr-26/mnr-1/let-2/ttr-25",57
"GO:0045121","membrane raft","19/575","48/11817",2.61531054759527e-13,5.63480545254618e-12,4.75511008653686e-12,"F35E12.10/lec-5/T19D12.4/lec-2/F53C11.1/F54E2.1/B0024.4/nep-22/F57F4.4/K08D8.6/ZK6.11/C29F3.7/hpo-6/pho-1/lec-4/nep-17/tag-10/act-4/dod-19",19
"GO:0098589","membrane region","19/575","48/11817",2.61531054759527e-13,5.63480545254618e-12,4.75511008653686e-12,"F35E12.10/lec-5/T19D12.4/lec-2/F53C11.1/F54E2.1/B0024.4/nep-22/F57F4.4/K08D8.6/ZK6.11/C29F3.7/hpo-6/pho-1/lec-4/nep-17/tag-10/act-4/dod-19",19
