"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","171739_x_at","F35A5.1","259699","hypothetical protein",-0.770743093331277,7.04830438885728,-3.31108814055057,0.00427978591399235,0.018668103829862,-2.70571699282747
"2","171742_x_at","skr-8","178495","SKp1 Related (ubiquitin ligase complex component)",0.247412028089796,8.89668916957166,1.11886417438209,0.279265925432728,0.42813930479944,-6.48927868977653
"3","171746_x_at","F15G9.1","181184","hypothetical protein",-0.907478877554174,9.57044736193849,-5.84106080744611,2.23875383233384e-05,0.000315392009487571,2.56004493622131
"4","171752_x_at","C18C4.7","178941","hypothetical protein",-0.187106109455282,8.06650639446977,-0.740753163835835,0.469282543840146,0.613258604767599,-6.84055159892156
"5","171753_x_at","pek-1","181334","Eukaryotic translation initiation factor 2-alpha kinase pek-1",0.037616924081922,7.37138009202697,0.211988379762521,0.834719647834558,0.895262585254657,-7.10133691686373
"6","171764_x_at","clh-1","174821","Chloride channel protein",-0.288437201942157,7.75048099753665,-1.96090281962137,0.067041953229738,0.152268488544666,-5.30516206183658
"7","171770_x_at","col-93","259335","Col_cuticle_N domain-containing protein",-0.527150340407081,11.4034400560801,-2.93892370045651,0.00941380618724819,0.0340464629668907,-3.47161727502783
"8","171780_x_at","bckd-1A","176716","2-oxoisovalerate dehydrogenase subunit alpha;2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",0.395140532452158,8.12317413536954,1.44825186306628,0.166333329347213,0.29754571193332,-6.08499432628467
"9","171781_x_at","ola-1","173205","Obg-like ATPase 1;YchF-GTPase_C domain-containing protein",0.110192869254124,9.35643154680803,0.535912918650944,0.599188763864807,0.71944058316045,-6.97494086227145
"10","171801_s_at","W03G11.4","181377","hypothetical protein",-0.936609617294497,6.48718363886641,-4.91714264853115,0.00014291055666847,0.00132725394500561,0.683294222778344
"11","171802_s_at","Y75B8A.24","176653","hypothetical protein",0.18653047927133,8.1614368309159,1.23646181463207,0.233645489318369,0.37895826155488,-6.35474685181641
"12","171810_x_at","ncam-1","180418","NCAM (neural cell adhesion molecule) homolog",0.0227790780739454,5.33448832277582,0.123644825572075,0.903094235968654,0.942646174863599,-7.11693486149815
"13","171827_x_at","ccg-1","178426","Conserved Cysteine/Glycine domain protein",-1.56921283105127,8.32305964287278,-6.84073332492193,3.41586567175356e-06,8.23361841110539e-05,4.47025647394328
"14","171841_x_at","hlh-11","176360","Helix-loop-helix protein 11",-0.0164539346567665,5.24656688555863,-0.0668759076447226,0.947486334386863,0.97100467298924,-7.12263147953686
"15","171847_s_at","mlt-11","180352","hypothetical protein",0.0900043588352872,4.51731754015764,0.493808734666328,0.62796769918103,0.74308323086972,-6.99742495816584
