"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","171739_x_at","F35A5.1","259699","hypothetical protein",0.453812037640374,7.04830438885728,2.7570974052155,0.013762654897313,0.031672334945803,-3.98704326065135
"2","171742_x_at","skr-8","178495","SKp1 Related (ubiquitin ligase complex component)",-0.651368451439001,8.89668916957166,-4.16579866678491,0.000689938081930629,0.0026565482933063,-1.04079988493107
"3","171746_x_at","F15G9.1","181184","hypothetical protein",0.980791432525507,9.57044736193849,8.92784956093407,1.03549653915418e-07,2.15901028413647e-06,7.93111967627973
"4","171752_x_at","C18C4.7","178941","hypothetical protein",0.510622574716795,8.06650639446977,2.85891047274447,0.0111323463348762,0.0265419578138559,-3.78343299049925
"5","171753_x_at","pek-1","181334","Eukaryotic translation initiation factor 2-alpha kinase pek-1",0.283888052632465,7.37138009202697,2.26251198523065,0.0375189262906656,0.0717349484787142,-4.93157519818405
"6","171764_x_at","clh-1","174821","Chloride channel protein",0.198732600881118,7.75048099753665,1.91068419529673,0.0736286601187477,0.12466311572411,-5.54311614168894
"7","171770_x_at","col-93","259335","Col_cuticle_N domain-containing protein",-0.00636811212038957,11.4034400560801,-0.0502087626760971,0.960560454013899,0.970944312349452,-7.28159884425823
"8","171780_x_at","bckd-1A","176716","2-oxoisovalerate dehydrogenase subunit alpha;2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",-0.102280792084362,8.12317413536954,-0.530153454463469,0.603086746698593,0.679695063171117,-7.13580663631985
"9","171781_x_at","ola-1","173205","Obg-like ATPase 1;YchF-GTPase_C domain-containing protein",0.103057375843507,9.35643154680803,0.708818121771148,0.488358853489842,0.576083852631581,-7.0216719299402
"10","171801_s_at","W03G11.4","181377","hypothetical protein",1.02714393287133,6.48718363886641,7.62606491360026,8.578530171679e-07,1.07424837284989e-05,5.76858320981927
"11","171802_s_at","Y75B8A.24","176653","hypothetical protein",-0.149248872865359,8.1614368309159,-1.39912642925051,0.180342410546321,0.257367505810458,-6.3067329704883
