"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","171739_x_at","F35A5.1","259699","hypothetical protein",-0.128002036994921,7.04830438885728,-0.777665762010185,0.447803521804418,0.482290069234244,-7.46955663606748
"2","171742_x_at","skr-8","178495","SKp1 Related (ubiquitin ligase complex component)",1.86122551828583,8.89668916957166,11.9033870392897,1.66992447346399e-09,1.79635933705927e-08,11.8386044896724
"3","171746_x_at","F15G9.1","181184","hypothetical protein",-1.43071481741093,9.57044736193849,-13.0233668758234,4.35007558889865e-10,5.8552401335626e-09,13.2326749267443
"4","171752_x_at","C18C4.7","178941","hypothetical protein",-0.733718164286451,8.06650639446977,-4.10799413849807,0.000780138639162081,0.00136918271267082,-1.63892649405867
"5","171753_x_at","pek-1","181334","Eukaryotic translation initiation factor 2-alpha kinase pek-1",-0.404869319095718,7.37138009202697,-3.22670037858958,0.00512213652468042,0.00765066257532212,-3.51469669691754
"6","171764_x_at","clh-1","174821","Chloride channel protein",-0.716006749057749,7.75048099753665,-6.88393737657974,3.15898015671234e-06,1.075342632938e-05,4.00620192864798
"7","171770_x_at","col-93","259335","Col_cuticle_N domain-containing protein",3.97731359980445,11.4034400560801,31.3587435091797,4.12665325334881e-16,2.43270091409119e-13,27.2155330304473
"8","171780_x_at","bckd-1A","176716","2-oxoisovalerate dehydrogenase subunit alpha;2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",0.223610712381283,8.12317413536954,1.15904452056056,0.262981986895458,0.295509265791985,-7.10030730631511
"9","171781_x_at","ola-1","173205","Obg-like ATPase 1;YchF-GTPase_C domain-containing protein",0.23272921884957,9.35643154680803,1.60068783467488,0.128467778287043,0.152450380038978,-6.52332850107949
"10","171801_s_at","W03G11.4","181377","hypothetical protein",-0.576597653836198,6.48718363886641,-4.28096880725603,0.000540436471770255,0.000984973814371488,-1.26831024234898
"11","171802_s_at","Y75B8A.24","176653","hypothetical protein",0.459688159780193,8.1614368309159,4.30932469515003,0.000508964105340425,0.000936965212960698,-1.20762129038629
"12","171810_x_at","ncam-1","180418","NCAM (neural cell adhesion molecule) homolog",-0.417009045053723,5.33448832277582,-3.20110762589749,0.00540851751191476,0.00805195216875564,-3.56815178884177
"13","171827_x_at","ccg-1","178426","Conserved Cysteine/Glycine domain protein",-2.79390285354486,8.32305964287278,-17.2245192387821,5.90227870044739e-12,2.08992862833299e-10,17.6640715758944
"14","171841_x_at","hlh-11","176360","Helix-loop-helix protein 11",0.296656385745213,5.24656688555863,1.70517367867664,0.106965660488956,0.128321865431228,-6.36654158370075
"15","171847_s_at","mlt-11","180352","hypothetical protein",-0.520933184409976,4.51731754015764,-4.04196219016637,0.000897882184804128,0.00154845686957536,-1.78050711715362
"16","171850_x_at","nuo-4","176001","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;dNK domain-containing protein",0.527477980325118,10.2277533458374,4.85155240613598,0.00016362928724591,0.000342022119205736,-0.0546155889897868
"17","171855_x_at","tcc-1","180167","Transmembrane and Coiled-Coil protein",0.16846777408751,6.28269300878192,0.987611864450397,0.33764340742548,0.37267681550139,-7.28232096595999
"18","171869_at","svh-2","180929","Tyrosine-protein kinase receptor svh-2",-0.902243578843818,3.7887297439154,-7.84634406669858,5.9086564541007e-07,2.44435490214285e-06,5.74363140265851
"19","171872_s_at","Y66D12A.8","176589","hypothetical protein",-0.340831398944983,9.31568722098308,-2.57653834265343,0.0199650129099629,0.0269692594216215,-4.83203638557217
"20","171892_x_at","gln-1","180875","GLutamiNe synthetase (glutamate-ammonia ligase)",0.0543298982012317,6.9731722354685,0.355324470921635,0.726860299873462,0.749878142125763,-7.71742146111857
"21","171900_s_at","B0511.6","172954","RNA helicase",-0.637454018775292,9.28641325613419,-5.16223885682191,8.65277789975588e-05,0.000194407779321024,0.596415102194533
"22","171911_x_at","F53F4.11","179849","hypothetical protein",-0.568494035233043,7.11533450599706,-3.52595058350873,0.00270486758496465,0.00424193224118186,-2.88360271478815
"23","171925_x_at","C46H3.2","3564865","hypothetical protein",0.674741119168629,6.10974826742291,5.41978906255043,5.14565006998474e-05,0.000123176583190794,1.12905429160045
"24","171970_x_at","H39E23.3","3565355","hypothetical protein",-0.985557039681217,6.96971235714063,-3.18572323527082,0.0055881969461729,0.00829871127690206,-3.60023777773798
"25","171986_x_at","fip-2","179283","Fungus-Induced Protein",0.509158532732423,7.69028106962767,3.82921010086412,0.00141392673654708,0.00233323090281019,-2.23646994645774
"26","171996_x_at","egl-15","181291","Myoblast growth factor receptor egl-15",-0.972569142333779,4.61143750703515,-6.69631163128886,4.44431127485769e-06,1.44223953433125e-05,3.65302973817696
"27","172001_x_at","lev-11","173319","Tropomyosin ;hypothetical protein",0.407031098888405,9.04512034257391,3.64117335211813,0.0021139705248271,0.00338137978079364,-2.63834813199008
"28","172013_x_at","byn-1","175968","Cell adhesion protein byn-1",-0.744622911894503,9.72358303104734,-7.95930512796826,4.89230947723476e-07,2.08172760408867e-06,5.93950358200879
"29","172015_x_at","Y82E9BR.17","259490","hypothetical protein",1.09014050448932,5.77987199244146,6.44338744966723,7.0952430021345e-06,2.18033627994848e-05,3.16950819212997
"30","172023_x_at","klp-11","177685","Kinesin-like protein",-1.04065738463657,6.2796601262256,-6.75306013472134,4.00629400786817e-06,1.32109904216244e-05,3.76034620421218
"31","172026_x_at","vap-1","181768","Venom-Allergen-like Protein",1.44114240297131,3.80743654284143,8.22830033634486,3.14165533262364e-07,1.41323654121257e-06,6.39926401931227
"32","172032_x_at","rnt-1","172243","Runt domain-containing protein",-0.363168477836594,5.76614628479122,-2.64961476368501,0.0171863001743156,0.0234742455705522,-4.68922998303062
"33","172043_x_at","lec-2","174560","Galectin",0.126215244000692,9.74989067757519,1.0601836865853,0.304375479205581,0.33855581442712,-7.20835918883723
"34","172045_x_at","hil-7","177433","HIstone H1 Like",0.0210887606724794,7.7173004170629,0.141740433237722,0.889005911083261,0.901617451324057,-7.77338518876798
"35","172047_x_at","kap-1","176041","Kinesin-Associated Protein",0.491537701781859,5.14978285067328,3.57210698483984,0.00245059344606129,0.00387229051537535,-2.78547306275713
"36","172063_x_at","oat-1","177649","MFS domain-containing protein",-1.33599957785998,6.59586996810771,-10.6282419910773,8.79221812332772e-09,6.90673561194269e-08,10.1143284364201
