"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","171739_x_at","F35A5.1","259699","hypothetical protein",0.642741056336356,7.04830438885728,3.90491999256915,0.00120274781827292,0.00311712765829589,-2.06674975582218
"2","171742_x_at","skr-8","178495","SKp1 Related (ubiquitin ligase complex component)",1.61381349019604,8.89668916957166,10.3210741494251,1.34214637196266e-08,3.14424178150803e-07,9.68121323785334
"3","171746_x_at","F15G9.1","181184","hypothetical protein",-0.523235939856754,9.57044736193849,-4.76285946328712,0.000196640708039589,0.000712511642885174,-0.234510030585001
"4","171752_x_at","C18C4.7","178941","hypothetical protein",-0.546612054831169,8.06650639446977,-3.06041096783065,0.00728760578623318,0.0137695134248266,-3.85253149917319
"5","171753_x_at","pek-1","181334","Eukaryotic translation initiation factor 2-alpha kinase pek-1",-0.44248624317764,7.37138009202697,-3.52649722031523,0.00270170743704616,0.00600539446294376,-2.87485606489604
"6","171764_x_at","clh-1","174821","Chloride channel protein",-0.427569547115592,7.75048099753665,-4.11080201457557,0.000775493099735635,0.00217179733102592,-1.62538384297491
"7","171770_x_at","col-93","259335","Col_cuticle_N domain-containing protein",4.50446394021153,11.4034400560801,35.515009265145,5.47556927354107e-17,5.59873170319435e-14,29.1239122367888
"8","171780_x_at","bckd-1A","176716","2-oxoisovalerate dehydrogenase subunit alpha;2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",-0.171529820070875,8.12317413536954,-0.88909290591987,0.386766427561824,0.443081319487034,-7.36747557965274
"9","171781_x_at","ola-1","173205","Obg-like ATPase 1;YchF-GTPase_C domain-containing protein",0.122536349595446,9.35643154680803,0.842792516867768,0.411427941482806,0.468374151237593,-7.40807741558847
"10","171801_s_at","W03G11.4","181377","hypothetical protein",0.360011963458299,6.48718363886641,2.67292101441988,0.0163807741179924,0.0275102005928426,-4.63568555551386
"11","171802_s_at","Y75B8A.24","176653","hypothetical protein",0.273157680508863,8.1614368309159,2.56070362754091,0.0206212159134865,0.0334333088488486,-4.85509176821548
"12","171810_x_at","ncam-1","180418","NCAM (neural cell adhesion molecule) homolog",-0.439788123127668,5.33448832277582,-3.37596781513877,0.00372669151040205,0.00788047849816255,-3.19355981966879
"13","171827_x_at","ccg-1","178426","Conserved Cysteine/Glycine domain protein",-1.22469002249359,8.32305964287278,-7.55026139409987,9.76728745511708e-07,9.79076651149957e-06,5.22922770479875
"14","171841_x_at","hlh-11","176360","Helix-loop-helix protein 11",0.31311032040198,5.24656688555863,1.79975049426381,0.0902618000674449,0.12240380692073,-6.21097655467728
"15","171847_s_at","mlt-11","180352","hypothetical protein",-0.610937543245263,4.51731754015764,-4.74031319994979,0.000206070887901829,0.000738243644802943,-0.282222188367689
"16","171850_x_at","nuo-4","176001","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;dNK domain-containing protein",0.301742573670676,10.2277533458374,2.77531947101057,0.0132514849638618,0.0229004112305444,-4.4322787573766
"17","171855_x_at","tcc-1","180167","Transmembrane and Coiled-Coil protein",0.21730959714471,6.28269300878192,1.27393822089422,0.220385371934571,0.269661678687547,-6.95681605894854
"18","171869_at","svh-2","180929","Tyrosine-protein kinase receptor svh-2",-0.389094825865647,3.7887297439154,-3.38375572838798,0.00366525494850457,0.00777817462354405,-3.17712740716164
"19","171872_s_at","Y66D12A.8","176589","hypothetical protein",-0.344533569219877,9.31568722098308,-2.60452515282944,0.0188536021951418,0.0310136178121268,-4.76987440205557
"20","171892_x_at","gln-1","180875","GLutamiNe synthetase (glutamate-ammonia ligase)",-0.137605532583616,6.9731722354685,-0.899957752176584,0.381124919858977,0.437218958957891,-7.35766195246606
"21","171900_s_at","B0511.6","172954","RNA helicase",-0.662070156982274,9.28641325613419,-5.36158560406043,5.78288201299743e-05,0.000266459867339219,1.01664783704021
"22","171911_x_at","F53F4.11","179849","hypothetical protein",-0.634967373024748,7.11533450599706,-3.93823583128332,0.00112016839834579,0.00293410943536555,-1.99535068147874
"23","171925_x_at","C46H3.2","3564865","hypothetical protein",0.45563885379094,6.10974826742291,3.65987251420495,0.00203106373310826,0.00476351842916841,-2.59089040741569
"24","171970_x_at","H39E23.3","3565355","hypothetical protein",0.339462568616454,6.96971235714063,1.09728178969321,0.288316598907224,0.343023693468078,-7.16104124872469
"25","171986_x_at","fip-2","179283","Fungus-Induced Protein",0.886132220486392,7.69028106962767,6.66430243479952,4.71309294886792e-06,3.47236706656877e-05,3.59944503168336
"26","171996_x_at","egl-15","181291","Myoblast growth factor receptor egl-15",-0.306372864734199,4.61143750703515,-2.10943169830369,0.0505537382872989,0.073350413590131,-5.69144551957985
"27","172001_x_at","lev-11","173319","Tropomyosin ;hypothetical protein",0.94753967555844,9.04512034257391,8.47639461982234,2.10497968608214e-07,2.87795583310247e-06,6.82183937527711
"28","172013_x_at","byn-1","175968","Cell adhesion protein byn-1",-0.664120251352289,9.72358303104734,-7.09880885712626,2.14940768339874e-06,1.85954980078272e-05,4.41190953173659
"29","172015_x_at","Y82E9BR.17","259490","hypothetical protein",0.733417455786009,5.77987199244146,4.3349392216118,0.000482135919492877,0.001466452796707,-1.14532534300282
"30","172023_x_at","klp-11","177685","Kinesin-like protein",-0.427813683167609,6.2796601262256,-2.77617933773316,0.0132278218504781,0.0228784807617145,-4.43055872076888
"31","172026_x_at","vap-1","181768","Venom-Allergen-like Protein",1.0104217293279,3.80743654284143,5.76907142426539,2.57669724370635e-05,0.000136702640028696,1.84703820531621
"32","172032_x_at","rnt-1","172243","Runt domain-containing protein",-0.629406072067568,5.76614628479122,-4.59203846886069,0.000280754636334788,0.000951928366669022,-0.596858791206571
"33","172043_x_at","lec-2","174560","Galectin",0.850700620428706,9.74989067757519,7.14572100293659,1.97774429938874e-06,1.7326037244645e-05,4.49811191312533
"34","172045_x_at","hil-7","177433","HIstone H1 Like",0.1722380571529,7.7173004170629,1.15763544477672,0.263540677424024,0.317161507895579,-7.09416356553912
"35","172047_x_at","kap-1","176041","Kinesin-Associated Protein",0.428431715856586,5.14978285067328,3.1135026249063,0.00651326719948265,0.0125625921470133,-3.74273812739052
"36","172063_x_at","oat-1","177649","MFS domain-containing protein",-0.556394004505449,6.59586996810771,-4.42626646015921,0.000397637126834373,0.00125048779705832,-0.95014793542899
"37","172068_x_at","cdk-7","171784","Cyclin-dependent kinase 7",-0.401503075750371,9.73902752650624,-3.51978949411292,0.00274074095499349,0.00606307150255853,-2.88910233249511
"38","172084_x_at","madd-2","178619","hypothetical protein",0.33286248195907,5.35894328320561,2.64618109468246,0.0173081371113389,0.0288468951855649,-4.68831461474527
"39","172092_s_at","F53H1.1","176943","hypothetical protein",0.164225228139156,5.60197011293371,1.01174199660376,0.326308149899254,0.3820058913756,-7.25049528373398
"40","172100_x_at","mlc-2","181775","Myosin regulatory light chain 2",1.07875486006741,11.1446396464633,9.40879340088605,4.99288998628956e-08,9.21244298319664e-07,8.31643601021101
"41","172152_x_at","unc-11","171952","Phosphatidylinositol-binding clathrin assembly protein unc-11",-0.223978768794225,5.79819152061156,-1.83569769781014,0.0845406224416699,0.115774842555587,-6.15337430587797
