"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","171739_x_at","F35A5.1","259699","hypothetical protein",-0.372049895745146,7.04830438885728,-2.26035829173514,0.0376784233490734,0.0861626488174494,-4.50551621502503
"2","171742_x_at","skr-8","178495","SKp1 Related (ubiquitin ligase complex component)",0.0524553579398646,8.89668916957166,0.335475965544329,0.741505189309124,0.81909314951498,-6.7759966133222
"3","171746_x_at","F15G9.1","181184","hypothetical protein",-0.695403493031961,9.57044736193849,-6.33004894215973,8.77484071676876e-06,0.000171789135159276,3.69758507159056
"4","171752_x_at","C18C4.7","178941","hypothetical protein",-0.529168201762307,8.06650639446977,-2.96274506606114,0.0089540520859754,0.0279828235885128,-3.15628517747503
"5","171753_x_at","pek-1","181334","Eukaryotic translation initiation factor 2-alpha kinase pek-1",0.0214670830445165,7.37138009202697,0.171086920445506,0.866241586435923,0.909193912770652,-6.81947337579482
"6","171764_x_at","clh-1","174821","Chloride channel protein",-0.327082643000337,7.75048099753665,-3.14468604429161,0.00609670934258369,0.020502643514979,-2.78681068553923
"7","171770_x_at","col-93","259335","Col_cuticle_N domain-containing protein",-0.598247376020286,11.4034400560801,-4.7168234409734,0.000216388449136316,0.00159142827671682,0.497010050958924
"8","171780_x_at","bckd-1A","176716","2-oxoisovalerate dehydrogenase subunit alpha;2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",0.257237656119135,8.12317413536954,1.33334352648698,0.200584686720267,0.315493959318569,-5.95011404394876
"9","171781_x_at","ola-1","173205","Obg-like ATPase 1;YchF-GTPase_C domain-containing protein",0.0639697072075744,9.35643154680803,0.439977122859954,0.665677970747272,0.761139878808918,-6.73389979203333
"10","171801_s_at","W03G11.4","181377","hypothetical protein",-1.01751316790418,6.48718363886641,-7.55456097295794,9.69545859393665e-07,4.59460650263863e-05,5.89370582494187
"11","171802_s_at","Y75B8A.24","176653","hypothetical protein",0.22340982904738,8.1614368309159,2.09434477040582,0.0520414957759747,0.109381571263011,-4.79878818969166
"12","171810_x_at","ncam-1","180418","NCAM (neural cell adhesion molecule) homolog",-0.0602055409731319,5.33448832277582,-0.462158839517612,0.650019293591712,0.747334010002051,-6.72353633321364
"13","171827_x_at","ccg-1","178426","Conserved Cysteine/Glycine domain protein",-0.975151970937505,8.32305964287278,-6.01184964711216,1.60822676833795e-05,0.000252116752780799,3.09214221284749
"14","171841_x_at","hlh-11","176360","Helix-loop-helix protein 11",-0.375270747693849,5.24656688555863,-2.15704711610166,0.0461100522725047,0.0998132778130031,-4.68946457395845
"15","171847_s_at","mlt-11","180352","hypothetical protein",-0.00290198244421536,4.51731754015764,-0.0225167135960641,0.98230657208202,0.988946983481899,-6.83454245729521
"16","171850_x_at","nuo-4","176001","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;dNK domain-containing protein",0.131677732388752,10.2277533458374,1.21112433738262,0.242955388306621,0.366542680621783,-6.09838792794891
"17","171855_x_at","tcc-1","180167","Transmembrane and Coiled-Coil protein",-0.0231866964800913,6.28269300878192,-0.135927815661964,0.89352738225216,0.929179347628805,-6.82512533399708
"18","171869_at","svh-2","180929","Tyrosine-protein kinase receptor svh-2",-0.329431329944485,3.7887297439154,-2.86489327461534,0.0109939562457981,0.0328872292288222,-3.35237353429087
"19","171872_s_at","Y66D12A.8","176589","hypothetical protein",-0.0281078713670411,9.31568722098308,-0.212483381905908,0.834339815844346,0.887097662435218,-6.81116617324995
"20","171892_x_at","gln-1","180875","GLutamiNe synthetase (glutamate-ammonia ligase)",-0.285102603598944,6.9731722354685,-1.86460742861982,0.0801744488149651,0.155212373054041,-5.18276359353223
"21","171900_s_at","B0511.6","172954","RNA helicase",-0.0198601372311575,9.28641325613419,-0.160831635062037,0.874184005031128,0.915226538031586,-6.8212552732131
"22","171911_x_at","F53F4.11","179849","hypothetical protein",-0.112684413467846,7.11533450599706,-0.698898579043874,0.49437619761483,0.610106168704895,-6.58244472605096
"23","171925_x_at","C46H3.2","3564865","hypothetical protein",0.0186084319030755,6.10974826742291,0.149470326965946,0.88299918324381,0.922140394221559,-6.82310117509066
"24","171970_x_at","H39E23.3","3565355","hypothetical protein",-1.31614872816597,6.96971235714063,-4.25433071407685,0.000571800851516843,0.0032104418502144,-0.468033587260903
"25","171986_x_at","fip-2","179283","Fungus-Induced Protein",-0.499093000196426,7.69028106962767,-3.75351061557695,0.00166235848505387,0.0073510444142891,-1.52088641799511
"26","171996_x_at","egl-15","181291","Myoblast growth factor receptor egl-15",-0.461983629989011,4.61143750703515,-3.18083951084145,0.00564645473401628,0.0192524253809059,-2.71274127392199
"27","172001_x_at","lev-11","173319","Tropomyosin ;hypothetical protein",-0.520571415809389,9.04512034257391,-4.6568696404184,0.000245183936208466,0.00172997802705466,0.372684065427919
"28","172013_x_at","byn-1","175968","Cell adhesion protein byn-1",-0.0742775715768627,9.72358303104734,-0.793956037211642,0.43852155880654,0.560948416576099,-6.51050670556647
"29","172015_x_at","Y82E9BR.17","259490","hypothetical protein",0.030510135667507,5.77987199244146,0.180333291385913,0.859093156549758,0.904422737392701,-6.81777273408892
"30","172023_x_at","klp-11","177685","Kinesin-like protein",-0.402945063943497,6.2796601262256,-2.61480126694133,0.0184605371328748,0.0491259986241787,-3.84312936721603
"31","172026_x_at","vap-1","181768","Venom-Allergen-like Protein",0.167746809676088,3.80743654284143,0.957761792056582,0.352044471663427,0.47770201228703,-6.36687426082331
"32","172032_x_at","rnt-1","172243","Runt domain-containing protein",0.23701971634507,5.76614628479122,1.72925509243922,0.102475630467414,0.188747075551729,-5.3954824624944
"33","172043_x_at","lec-2","174560","Galectin",-0.702470565438174,9.74989067757519,-5.90061715350187,1.99397169122942e-05,0.000292024189053234,2.87723806250696
"34","172045_x_at","hil-7","177433","HIstone H1 Like",-0.283316527906186,7.7173004170629,-1.90420897806644,0.0745187867902845,0.146577047601644,-5.1185502015317
"35","172047_x_at","kap-1","176041","Kinesin-Associated Protein",-0.113321868249622,5.14978285067328,-0.823533648878107,0.421980563256158,0.54596926738386,-6.48639023187051
"36","172063_x_at","oat-1","177649","MFS domain-containing protein",-1.43892144088858,6.59586996810771,-11.4470135570031,2.9756450855246e-09,1.77263428666251e-06,11.5511434213517
"37","172068_x_at","cdk-7","171784","Cyclin-dependent kinase 7",0.0153641814044967,9.73902752650624,0.134690585351369,0.894490282959386,0.929716969077926,-6.82530070513231
"38","172084_x_at","madd-2","178619","hypothetical protein",0.0395936061019659,5.35894328320561,0.314760171590049,0.756899861920172,0.830161079486354,-6.78301433367384
"39","172092_s_at","F53H1.1","176943","hypothetical protein",-0.0942020150057212,5.60197011293371,-0.580350143677233,0.569541454258547,0.678374140033745,-6.66000025028893
"40","172100_x_at","mlc-2","181775","Myosin regulatory light chain 2",-0.325484512856052,11.1446396464633,-2.83884379112717,0.0116089508592337,0.0343328546687976,-3.40422252673712
"41","172152_x_at","unc-11","171952","Phosphatidylinositol-binding clathrin assembly protein unc-11",0.00689003992731418,5.79819152061156,0.0564697739008053,0.955647594476056,0.972912712149696,-6.83313634152283
"42","172156_x_at","Y54G2A.36","3565378","hypothetical protein",0.389629088187405,10.5034605910141,3.58719736582836,0.00237274669949756,0.00969084597150325,-1.86961810942242
"43","172159_x_at","fip-5","181237","Fungus-Induced Protein",-0.57503275465247,6.39773672026567,-3.16073973791321,0.00589257928072089,0.0199286744530463,-2.75394476261908
"44","172164_x_at","C06C6.9","182311","hypothetical protein",0.0637356200375354,3.54635258479749,0.389087959211013,0.702200054272018,0.789265290111675,-6.75579114308044
"45","172177_x_at","pbo-1","175385","hypothetical protein",-0.707129092400093,4.85750412875525,-3.38357145097918,0.00366669699322747,0.0136033153574364,-2.29418891817662
"46","172184_x_at","clec-174","189943","C-type lectin domain-containing protein",-1.02955569869007,6.98627174158804,-4.93555497864663,0.000137592427735799,0.00113167736421752,0.948067581094445
"47","172189_at","F46A8.7","185823","hypothetical protein",0.550138213343367,5.56563979666616,3.2762790044243,0.00460924226649648,0.0164137833059695,-2.51632818278304
"48","172190_x_at","serp-1.1","181669","hypothetical protein",-0.303601091548137,7.25807041198295,-2.6085228775285,0.0186997472959581,0.0495727566587066,-3.85522952367812
"49","172193_at","T12D8.5","176797","hypothetical protein",-0.287511819315752,8.87428057532257,-0.92491558496995,0.368375945688156,0.494037970012888,-6.3976245440201
"50","172196_x_at","col-65","187138","Col_cuticle_N domain-containing protein",-0.273806392369748,7.44585698641965,-2.30353994616558,0.03459789908016,0.0805545723976924,-4.42729845637524
"51","172214_x_at","flp-15","176803","FMRF-Like Peptide",-0.515045109207526,6.60263438955307,-2.64429983720166,0.0173752399565307,0.0468267237031454,-3.78612185680712
"52","172218_x_at","dod-6","176433","ShKT domain-containing protein",0.747980756646708,8.84100556677705,3.57669877152614,0.00242663980612875,0.00985305549323942,-1.89158372720073
"53","172223_x_at","ssp-37","173127","MSP domain-containing protein",0.217056993412642,7.66436357853633,1.79708979762261,0.0906985005332607,0.170750675947493,-5.29021095483597
"54","172229_x_at","T16A9.5","179924","hypothetical protein",0.285560283675745,4.23812222811392,1.84863689450364,0.0825610773182022,0.158581157262507,-5.2084131801885
"55","172232_x_at","nspa-9","183368","Nematode Specific Peptide family, group A",0.0876151829838174,3.92913692597292,0.553024900652715,0.587681664629684,0.693837072906507,-6.6759253250765
"56","172236_x_at","nlp-51","174729","Neuropeptide-Like Protein",0.178027338224553,6.51945929102022,1.32518606664123,0.203216779446407,0.319056464718191,-5.96037078695525
"57","172241_x_at","fipr-24","183286","FIP (Fungus-Induced Protein) Related",-0.657943641172968,6.36275068089495,-3.08680860554533,0.00689194369994602,0.022487726033009,-2.90496504124901
"58","172242_x_at","F36D1.4","185346","hypothetical protein",0.139099443112347,4.58925406451712,0.841860639257273,0.411934579840298,0.536802249354389,-6.47104010091452
"59","172248_x_at","T20G5.8","188660","ShKT domain-containing protein",0.181646565013399,7.48076229988106,1.1342091681768,0.272960515304797,0.399084130840053,-6.18559549970497
"60","172252_x_at","H25K10.4","186780","DUF4440 domain-containing protein",0.37683783229694,5.01078127499449,2.59846199489562,0.0190892548011621,0.0504130414951527,-3.87459491899178
